"filepath";"estado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/1/20130925_26_pyp.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/1/20130925_26_rcu.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/2/20150902_03_cac.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/2/20150902_03_rcu.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/3/20180321_mal.gpx";"gpx no en PPEE"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/3/20180321_svp.gpx";"gpx no en PPEE"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/4/20180226_mal.gpx";"gpx no en PPEE"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/4/20180226_svp.gpx";"gpx no en PPEE"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/5/Adantia Track Logger_1479135277930.gpx";"procesado"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/5/Adantia Track Logger_1479136033857.gpx";"gpx no en PPEE"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/5/Adantia Track Logger_1479136033857.gpx";"gpx no en PPEE"
"C:\GitHub\AdantiaTools\02_GPXTool\gpx/5/Adantia Track Logger_1479136171781.gpx";"gpx no en PPEE"
