"Cod_aero";"Aero";"Cod_parque";"minTime";"maxTime";"tiempo_s";"len";"tecnico";"filepath"
"0532";"11W-01";"PGAM";"2013-09-25 10:26:34";"2013-09-25 10:33:48";434;374,944147190406;"pyp";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/1/20130925_26_pyp.gpx"
"0534";"11W-03";"PGAM";"2013-09-25 10:36:06";"2013-09-25 10:42:53";407;396,726210474303;"pyp";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/1/20130925_26_pyp.gpx"
"0536";"11W-05";"PGAM";"2013-09-25 10:49:12";"2013-09-25 10:54:29";317;320,273157647438;"pyp";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/1/20130925_26_pyp.gpx"
"0539";"11W-08";"PGAM";"2013-09-25 10:56:52";"2013-09-25 11:02:54";362;440,703865620542;"pyp";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/1/20130925_26_pyp.gpx"
"0540";"11W-09";"PGAM";"2013-09-25 11:06:05";"2013-09-25 11:11:53";348;405,464533064201;"pyp";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/1/20130925_26_pyp.gpx"
"0541";"11W-10";"PGAM";"2013-09-25 11:12:45";"2013-09-25 11:18:31";346;389,27028902359;"pyp";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/1/20130925_26_pyp.gpx"
"0548";"11W-17";"PGAM";"2013-09-25 11:34:41";"2013-09-25 11:41:16";395;466,149223030902;"pyp";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/1/20130925_26_pyp.gpx"
"0549";"11W-18";"PGAM";"2013-09-25 11:43:04";"2013-09-25 11:49:15";371;476,873177559174;"pyp";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/1/20130925_26_pyp.gpx"
"0551";"11W-20";"PGAM";"2013-09-25 11:51:01";"2013-09-25 11:56:41";340;392,685786420278;"pyp";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/1/20130925_26_pyp.gpx"
"0552";"11W-21";"PGAM";"2013-09-25 12:13:16";"2013-09-25 12:18:50";334;427,448271485412;"pyp";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/1/20130925_26_pyp.gpx"
"0553";"11W-22";"PGAM";"2013-09-25 12:19:50";"2013-09-25 12:25:27";337;406,450576859382;"pyp";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/1/20130925_26_pyp.gpx"
"0554";"11W-23";"PGAM";"2013-09-25 12:27:36";"2013-09-25 12:31:49";253;287,523821063097;"pyp";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/1/20130925_26_pyp.gpx"
