"x";"y";"cod";"desc";"time";"type"
-7,808297;43,448645;"COCOR";"2 levantando vuelo en el AP.";"2018-02-14T09:48:51.411Z";"0"
-7,496192;43,606394;"BUBUT";"1 levantando vuelo en dirección N.";"2018-02-14T13:10:41.298Z";"0"
-7,516523;43,587727;"COCOR";"Posándose en el suelo.";"2018-02-14T14:05:04.941Z";"0"
-7,522423;43,589869;"COCOR";"1 posándose en el suelo tras vuelo rasante paralelo a la alineación.";"2018-02-14T14:37:30.499Z";"0"
-7,376478;43,634206;"ANPRA";;"2018-02-15T08:03:15.554Z";"0"
-7,385964;43,628155;"PAATE";;"2018-02-15T08:17:59.837Z";"0"
-7,393868;43,625492;"GAGAL";;"2018-02-15T08:42:31.772Z";"0"
-7,408069;43,598379;"GAGAL";;"2018-02-15T09:27:27.720Z";"0"
-7,409146;43,601614;"GAGAL";;"2018-02-15T09:42:56.271Z";"0"
-7,425014;43,590426;"ANPRA";;"2018-02-15T10:19:50.551Z";"0"
-7,437509975;43,58630491;"GAGAL";;"2018-02-15T10:49:17.368Z";"0"
-7,456601;43,587811;"COCOR";"4 en vuelo raso hacia el S.";"2018-02-15T11:16:30.664Z";"0"
-7,457181;43,588657;"ANPRA";;"2018-02-15T11:22:40.994Z";"0"
-7,471207;43,588642;"COCOR";"1 posándose en el AP.";"2018-02-15T11:54:28.433Z";"0"
-7,477001;43,584435;"GAGAL";;"2018-02-15T12:27:17.142Z";"0"
-7,477969;43,57326;"TUMER";;"2018-02-15T12:36:04.180Z";"0"
-7,674305;43,695919;"COCOR";"4 posadas en el AP.";"2018-02-16T07:51:16.962Z";"0"
-7,664222;43,682065;"BUBUT";"1 posado en un poste en el AP.";"2018-02-16T07:52:07.394Z";"0"
;;;;;
-7,669578;43,685547;"ANPRA";;"2018-02-16T09:19:54.872Z";"0"
-7,66519;43,682371;"ALARV";;"2018-02-16T09:56:06.577Z";"0"
-7,663356;43,682311;"TUMER";;"2018-02-16T10:08:26.577Z";"0"
-7,659246;43,682796;"BUBUT";"1 en vuelos rasantes cortos con posados frecuentes en el AP de los aerogeneradores de la alineación.";"2018-02-16T10:13:22.711Z";"0"
-7,654906;43,680783;"ALARV";;"2018-02-16T10:47:21.702Z";"0"
